customer_id;lname;fname;city;state_province;postal_code;country;gender;occupation
1;Nowmer;Sheri;Tlaxiaco;Oaxaca;15057;Mexico;F;Skilled Manual
2;Whelply;Derrick;Sooke;BC;17172;Canada;M;Professional
3;Derry;Jeanne;Issaquah;WA;73980;USA;F;Professional
4;Spence;Michael;Burnaby;BC;74674;Canada;M;Skilled Manual
5;Gutierrez;Maya;Novato;CA;57355;USA;F;Manual
6;Damstra;Robert;Lynnwood;WA;90792;USA;F;Professional
7;Kanagaki;Rebecca;Tlaxiaco;Oaxaca;13343;Mexico;F;Manual
8;Brunner;Kim;San Andres;DF;12942;Mexico;M;Professional
9;Blumberg;Brenda;Richmond;BC;17256;Canada;M;Skilled Manual
10;Stanz;Darren;Lake Oswego;OR;82017;USA;M;Management
11;Murraiin;Jonathan;La Mesa;CA;35890;USA;M;Manual
12;Creek;Jewel;Chula Vista;CA;40520;USA;F;Skilled Manual
13;Medina;Peggy;Mexico City;Mexico;59554;Mexico;M;Manual
14;Rutledge;Bryan;Lincoln Acres;CA;30346;USA;F;Management
15;Cavestany;Walter;Oak Bay;BC;15542;Canada;M;Professional
16;Planck;Peggy;Camacho;Zacatecas;77787;Mexico;F;Skilled Manual
17;Marshall;Brenda;Arcadia;CA;28530;USA;M;Management
18;Wolter;Daniel;Altadena;CA;49680;USA;M;Professional
19;Collins;Dianne;Oakland;CA;21486;USA;F;Professional
20;Baker;Beverly;Spring Valley;CA;88762;USA;F;Manual
21;Castillo;Pedro;Renton;WA;71442;USA;M;Manual
22;Borges;Laurie;Bellingham;WA;78588;USA;F;Skilled Manual
23;Wyro;Shauna;La Jolla;CA;27430;USA;F;Manual
24;Wyllie;Jacqueline;Santa Fe;DF;99737;Mexico;F;Manual
25;Conley;Lin;Haney;BC;65710;Canada;F;Professional
26;Bernard;Jose;Burbank;CA;51809;USA;M;Skilled Manual
27;Macaluso;Charles;Anacortes;WA;58052;USA;F;Manual
28;Wood;Lois;Everett;WA;88974;USA;F;Manual
29;Armstrong;Kevin;Oak Bay;BC;90098;Canada;F;Manual
30;Goldey;Cody;Milwaukie;OR;78800;USA;F;Professional
31;Nickell;Paula;Concord;CA;63996;USA;F;Professional
32;Long;Eric;Ladner;BC;99949;Canada;F;Manual
33;Solimena;Mary;Santa Cruz;CA;51307;USA;F;Skilled Manual
34;Muenich;Nathan;La Mesa;CA;53422;USA;F;Management
35;Young;Ed;Merida;Yucatan;69940;Mexico;M;Skilled Manual
36;Arnold;Donna;Oregon City;OR;38217;USA;M;Skilled Manual
37;Cooper;Jennifer;Seattle;WA;93604;USA;M;Professional
38;Petty;Peggy;Arcadia;CA;28043;USA;M;Management
39;Olguin;Jessica;Lebanon;OR;49592;USA;F;Professional
40;Burchett;Phyllis;Santa Cruz;CA;49192;USA;M;Professional
41;Bechard;Howard;W. Linn;OR;36903;USA;M;Professional
42;Carter;Doris;San Andres;DF;94169;Mexico;F;Management
43;Sharp;Juanita;Burbank;CA;48042;USA;F;Professional
44;Brunner;Sandra;Bellflower;CA;52673;USA;M;Skilled Manual
45;Staton;Ernest;Renton;WA;71706;USA;M;Management
46;Sims;Rose;Mill Valley;CA;68791;USA;F;Professional
47;De Carlo;Lauretta;Oak Bay;BC;53986;Canada;M;Professional
48;Williams;Mary;Camacho;Zacatecas;89939;Mexico;M;Professional
49;Burke;Terri;Arcadia;CA;41297;USA;F;Skilled Manual
50;Osborn;Audrey;Altadena;CA;43412;USA;M;Professional
51;Binai;Brian;Oakland;CA;33639;USA;F;Professional
52;Lozada;Concepcion;Tixapan;DF;19185;Mexico;F;Professional
53;Tays;Paul;Oak Bay;BC;83595;Canada;M;Management
54;Thorton;Cheryl;Metchosin;BC;18033;Canada;F;Professional
55;Dumin;Gary;Grossmont;CA;39583;USA;M;Skilled Manual
56;Chin;Pat;Imperial Beach;CA;39182;USA;M;Manual
57;Lovell;Zach;San Andres;DF;26893;Mexico;M;Manual
58;Ratcliff;Dave;Oakland;CA;65362;USA;F;Skilled Manual
59;Moss;Elizabeth;Burnaby;BC;70204;Canada;M;Manual
60;Anderson;Lori;Langley;BC;74834;Canada;M;Skilled Manual
61;Everson;Michael;Tacoma;WA;93868;USA;M;Professional
62;Borden;Mary;Santa Monica;CA;64660;USA;M;Skilled Manual
63;Willson;Sue;Tlaxiaco;Oaxaca;49856;Mexico;F;Professional
64;Harris;Clayton;Beaverton;OR;85809;USA;M;Manual
65;Contreras;Whitney;Metchosin;BC;37167;Canada;F;Management
66;Pusedu;Boyd;Metchosin;BC;39282;Canada;F;Professional
67;Stedman;Cian;Westminster;BC;55800;Canada;M;Skilled Manual
68;Zocchi;Michele;Hidalgo;Zacatecas;24077;Mexico;F;Manual
69;Walsh;Jean;Los Angeles;CA;79465;USA;M;Skilled Manual
70;Renfro;Leopoldo;Coronado;CA;13903;USA;M;Manual
71;Brockett;Donna;La Cruz;Sinaloa;61745;Mexico;M;Manual
72;Anderson;Laurie;Shawnee;BC;35052;Canada;F;Skilled Manual
73;Gomez;Louis;Yakima;WA;49055;USA;F;Skilled Manual
74;Walker;Julie;Ballard;WA;87524;USA;M;Professional
75;Jones;Jay;Lynnwood;WA;35227;USA;F;Manual
76;Winfrey;Gayle;Port Orchard;WA;66150;USA;F;Professional
77;Brown;Yasmina;Downey;CA;85184;USA;M;Professional
78;Touchstone;Joseph;Salem;OR;55976;USA;M;Manual
79;Bakhtyari;Mary;Tacoma;WA;41172;USA;M;Management
80;Glass;Melvin;Lemon Grove;CA;77125;USA;F;Management
81;Cohen;Kristin;Milwaukie;OR;28482;USA;M;Skilled Manual
82;Kharman;Susan;Richmond;CA;30597;USA;F;Skilled Manual
83;Kirschner;Gordon;Arcadia;CA;47116;USA;F;Management
84;Burger;William;Haney;BC;88099;Canada;M;Professional
85;Blau;Lana;Novato;CA;70780;USA;M;Skilled Manual
86;Derby;Donna;Bremerton;WA;52198;USA;M;Skilled Manual
87;Thomson;Kathleen;N. Vancouver;BC;26768;Canada;F;Management
88;Walton;Gabriel;Milwaukie;OR;26367;USA;F;Manual
89;Meastas;Bishop;Woodland Hills;CA;14079;USA;F;Management
90;Kouba;Geneva;Sooke;BC;78839;Canada;F;Professional
91;Clark;Tricia;Long Beach;CA;32712;USA;M;Professional
92;Munn;Debi;Arcadia;CA;61730;USA;M;Skilled Manual
93;Goldberg;Patricia;Woodburn;OR;80763;USA;M;Professional
94;Magenheim;Susan;Vancouver;BC;77848;Canada;M;Skilled Manual
95;Hance;Nancy;Tlaxiaco;Oaxaca;63043;Mexico;F;Professional
96;Mehlert;Rhonda;Beaverton;OR;98996;USA;M;Management
97;Duran;Paula;Richmond;BC;50354;Canada;M;Skilled Manual
98;Earley;Margaret;Richmond;BC;52469;Canada;F;Management
99;Horne;Elizabeth;Port Orchard;WA;42696;USA;F;Professional
100;Hunt;Mary;San Jose;CA;10972;USA;F;Professional
101;Allen;Libby;N. Vancouver;BC;92652;Canada;F;Manual
102;Bruno;Bonnie;Langford;BC;99797;Canada;M;Professional
103;Bowers;Angela;Acapulco;Guerrero;48640;Mexico;M;Professional
104;Gonzales;Donald;Hidalgo;Zacatecas;48239;Mexico;F;Clerical
105;Valdez;Sylvester;National City;CA;35950;USA;M;Management
106;Stewart;John;Long Beach;CA;74419;USA;M;Professional
107;Velasquez;Barney;Cliffside;BC;54584;Canada;M;Manual
108;Dubois;Kenneth;Shawnee;BC;59214;Canada;M;Management
109;Maestas;Kate;Newton;BC;76633;Canada;M;Professional
110;Underwood;Josie;West Covina;CA;47425;USA;M;Manual
111;Strain;Ramon;Palo Alto;CA;32621;USA;F;Management
112;Azari;Pat;Santa Monica;CA;68574;USA;F;Skilled Manual
113;Dabit;Bob;Sooke;BC;19932;Canada;F;Professional
114;Carmona;Marty;Sooke;BC;22047;Canada;F;Professional
115;Saxton;Gina;Altadena;CA;38565;USA;F;Professional
116;McLaughlin;Juan;Burnaby;BC;68422;Canada;M;Management
117;Eyster;Carol;Albany;OR;62230;USA;F;Professional
118;Henry;Nancy;Bremerton;WA;95667;USA;M;Professional
119;Barros;Chris;N. Vancouver;BC;18218;Canada;M;Manual
